date,state,district,piped_water,sanitation,electricity
2016-01-01,Johor,All Districts,99.9,99.99,100.0
2019-01-01,Johor,All Districts,99.9,99.9,100.0
2022-01-01,Johor,All Districts,99.6,100.0,100.0
2024-01-01,Johor,All Districts,,,100.0
2016-01-01,Johor,Batu Pahat,99.9,100.0,100.0
2019-01-01,Johor,Batu Pahat,100.0,100.0,100.0
2022-01-01,Johor,Batu Pahat,100.0,100.0,100.0
2024-01-01,Johor,Batu Pahat,100.0,100.0,100.0
2016-01-01,Johor,Johor Bahru,100.0,100.0,100.0
2019-01-01,Johor,Johor Bahru,100.0,100.0,100.0
2022-01-01,Johor,Johor Bahru,100.0,100.0,100.0
2024-01-01,Johor,Johor Bahru,100.0,100.0,100.0
2016-01-01,Johor,Kluang,99.7,100.0,99.1
2019-01-01,Johor,Kluang,100.0,100.0,100.0
2022-01-01,Johor,Kluang,99.7,100.0,100.0
2024-01-01,Johor,Kluang,98.73,100.0,100.0
2016-01-01,Johor,Kota Tinggi,98.9,100.0,100.0
2019-01-01,Johor,Kota Tinggi,98.8,99.0,100.0
2022-01-01,Johor,Kota Tinggi,100.0,99.85,100.0
2024-01-01,Johor,Kota Tinggi,99.83,100.0,100.0
2016-01-01,Johor,Kulai,100.0,100.0,100.0
2019-01-01,Johor,Kulai,100.0,100.0,100.0
2022-01-01,Johor,Kulai,100.0,100.0,100.0
2024-01-01,Johor,Kulai,100.0,100.0,100.0
2016-01-01,Johor,Mersing,99.5,100.0,100.0
2019-01-01,Johor,Mersing,98.3,100.0,100.0
2022-01-01,Johor,Mersing,83.5,100.0,100.0
2024-01-01,Johor,Mersing,95.39,100.0,100.0
2016-01-01,Johor,Muar,100.0,100.0,100.0
2019-01-01,Johor,Muar,99.5,100.0,100.0
2022-01-01,Johor,Muar,100.0,100.0,100.0
2024-01-01,Johor,Muar,100.0,100.0,100.0
2016-01-01,Johor,Pontian,100.0,100.0,100.0
2019-01-01,Johor,Pontian,100.0,100.0,100.0
2022-01-01,Johor,Pontian,100.0,100.0,100.0
2024-01-01,Johor,Pontian,100.0,100.0,100.0
2016-01-01,Johor,Segamat,100.0,100.0,100.0
2019-01-01,Johor,Segamat,100.0,100.0,100.0
2022-01-01,Johor,Segamat,98.7,100.0,100.0
2024-01-01,Johor,Segamat,99.54,100.0,100.0
2016-01-01,Johor,Tangkak,100.0,100.0,100.0
2019-01-01,Johor,Tangkak,99.8,100.0,100.0
2022-01-01,Johor,Tangkak,100.0,100.0,100.0
2024-01-01,Johor,Tangkak,100.0,100.0,100.0
2016-01-01,Kedah,All Districts,98.7,99.98,100.0
2019-01-01,Kedah,All Districts,99.5,100.0,100.0
2022-01-01,Kedah,All Districts,99.6,100.0,100.0
2024-01-01,Kedah,All Districts,,,100.0
2016-01-01,Kedah,Baling,91.0,100.0,100.0
2019-01-01,Kedah,Baling,96.9,100.0,100.0
2022-01-01,Kedah,Baling,95.1,100.0,100.0
2024-01-01,Kedah,Baling,96.01,100.0,100.0
2016-01-01,Kedah,Bandar Baharu,99.3,100.0,100.0
2019-01-01,Kedah,Bandar Baharu,100.0,100.0,100.0
2022-01-01,Kedah,Bandar Baharu,100.0,100.0,100.0
2024-01-01,Kedah,Bandar Baharu,100.0,100.0,100.0
2016-01-01,Kedah,Kota Setar,100.0,100.0,100.0
2019-01-01,Kedah,Kota Setar,100.0,100.0,100.0
2022-01-01,Kedah,Kota Setar,100.0,100.0,100.0
2024-01-01,Kedah,Kota Setar,100.0,100.0,100.0
2016-01-01,Kedah,Kuala Muda,99.9,100.0,100.0
2019-01-01,Kedah,Kuala Muda,99.9,100.0,100.0
2022-01-01,Kedah,Kuala Muda,99.9,99.9,100.0
2024-01-01,Kedah,Kuala Muda,99.9,100.0,100.0
2016-01-01,Kedah,Kubang Pasu,99.2,100.0,100.0
2019-01-01,Kedah,Kubang Pasu,99.8,100.0,100.0
2022-01-01,Kedah,Kubang Pasu,99.9,100.0,100.0
2024-01-01,Kedah,Kubang Pasu,100.0,100.0,100.0
2016-01-01,Kedah,Kulim,99.9,100.0,100.0
2019-01-01,Kedah,Kulim,100.0,100.0,100.0
2022-01-01,Kedah,Kulim,100.0,100.0,100.0
2024-01-01,Kedah,Kulim,100.0,100.0,100.0
2016-01-01,Kedah,Langkawi,97.8,100.0,100.0
2019-01-01,Kedah,Langkawi,99.5,100.0,100.0
2022-01-01,Kedah,Langkawi,99.8,100.0,100.0
2024-01-01,Kedah,Langkawi,100.0,100.0,100.0
2016-01-01,Kedah,Padang Terap,100.0,99.4,100.0
2019-01-01,Kedah,Padang Terap,100.0,100.0,100.0
2022-01-01,Kedah,Padang Terap,100.0,100.0,100.0
2024-01-01,Kedah,Padang Terap,100.0,100.0,100.0
2016-01-01,Kedah,Pendang,99.4,100.0,100.0
2019-01-01,Kedah,Pendang,100.0,100.0,100.0
2022-01-01,Kedah,Pendang,100.0,100.0,100.0
2024-01-01,Kedah,Pendang,100.0,100.0,100.0
2016-01-01,Kedah,Pokok Sena,99.4,100.0,100.0
2019-01-01,Kedah,Pokok Sena,100.0,100.0,100.0
2022-01-01,Kedah,Pokok Sena,100.0,100.0,100.0
2024-01-01,Kedah,Pokok Sena,100.0,100.0,100.0
2016-01-01,Kedah,Sik,91.5,100.0,100.0
2019-01-01,Kedah,Sik,91.9,100.0,100.0
2022-01-01,Kedah,Sik,100.0,100.0,100.0
2024-01-01,Kedah,Sik,98.28,100.0,100.0
2016-01-01,Kedah,Yan,95.1,100.0,100.0
2019-01-01,Kedah,Yan,100.0,100.0,100.0
2022-01-01,Kedah,Yan,100.0,100.0,100.0
2024-01-01,Kedah,Yan,100.0,100.0,100.0
2016-01-01,Kelantan,All Districts,65.4,99.67,100.0
2019-01-01,Kelantan,All Districts,67.9,100.0,100.0
2022-01-01,Kelantan,All Districts,70.2,99.8,100.0
2024-01-01,Kelantan,All Districts,,,100.0
2016-01-01,Kelantan,Bachok,29.5,100.0,99.8
2019-01-01,Kelantan,Bachok,42.3,100.0,100.0
2022-01-01,Kelantan,Bachok,47.4,99.5,100.0
2024-01-01,Kelantan,Bachok,44.53,100.0,100.0
2016-01-01,Kelantan,Gua Musang,69.1,100.0,100.0
2019-01-01,Kelantan,Gua Musang,90.7,100.0,100.0
2022-01-01,Kelantan,Gua Musang,89.5,100.0,100.0
2024-01-01,Kelantan,Gua Musang,94.78,100.0,100.0
2016-01-01,Kelantan,Jeli,75.7,100.0,100.0
2019-01-01,Kelantan,Jeli,77.4,100.0,100.0
2022-01-01,Kelantan,Jeli,80.8,100.0,100.0
2024-01-01,Kelantan,Jeli,70.59,100.0,100.0
2016-01-01,Kelantan,Kecil Lojing,44.4,,100.0
2019-01-01,Kelantan,Kecil Lojing,44.4,100.0,100.0
2022-01-01,Kelantan,Kecil Lojing,87.5,100.0,100.0
2024-01-01,Kelantan,Kecil Lojing,93.3,100.0,100.0
2016-01-01,Kelantan,Kota Bharu,72.0,99.7,100.0
2019-01-01,Kelantan,Kota Bharu,64.3,100.0,100.0
2022-01-01,Kelantan,Kota Bharu,68.4,99.6,100.0
2024-01-01,Kelantan,Kota Bharu,68.76,100.0,100.0
2016-01-01,Kelantan,Kuala Krai,71.9,100.0,100.0
2019-01-01,Kelantan,Kuala Krai,83.3,100.0,100.0
2022-01-01,Kelantan,Kuala Krai,70.0,100.0,100.0
2024-01-01,Kelantan,Kuala Krai,98.41,100.0,100.0
2016-01-01,Kelantan,Machang,68.7,98.6,100.0
2019-01-01,Kelantan,Machang,70.1,99.7,100.0
2022-01-01,Kelantan,Machang,68.0,100.0,100.0
2024-01-01,Kelantan,Machang,72.9,100.0,100.0
2016-01-01,Kelantan,Pasir Mas,67.0,99.7,99.8
2019-01-01,Kelantan,Pasir Mas,71.9,100.0,100.0
2022-01-01,Kelantan,Pasir Mas,80.3,100.0,100.0
2024-01-01,Kelantan,Pasir Mas,71.58,100.0,100.0
2016-01-01,Kelantan,Pasir Puteh,52.0,99.8,100.0
2019-01-01,Kelantan,Pasir Puteh,65.8,100.0,100.0
2022-01-01,Kelantan,Pasir Puteh,68.5,99.8,100.0
2024-01-01,Kelantan,Pasir Puteh,77.55,100.0,100.0
2016-01-01,Kelantan,Tanah Merah,67.8,100.0,100.0
2019-01-01,Kelantan,Tanah Merah,74.8,100.0,100.0
2022-01-01,Kelantan,Tanah Merah,70.7,99.8,100.0
2024-01-01,Kelantan,Tanah Merah,80.23,100.0,100.0
