date,state,district,income_mean,income_median,expenditure_mean,gini,poverty
2022-01-01,Johor,Batu Pahat,7419,6347,4570,0.338,5.1
2024-01-01,Johor,Batu Pahat,9006,7555,5153,0.316,2.4
2022-01-01,Johor,Johor Bahru,9869,8232,6139,0.358,3.7
2024-01-01,Johor,Johor Bahru,10975,8977,6764,0.35,1.9
2022-01-01,Johor,Kluang,6461,5204,4399,0.354,7.2
2024-01-01,Johor,Kluang,6616,6158,4748,0.292,5.7
2022-01-01,Johor,Kota Tinggi,7529,6227,4498,0.343,5.0
2024-01-01,Johor,Kota Tinggi,8106,6284,4949,0.379,4.2
2022-01-01,Johor,Mersing,5426,4445,4032,0.339,12.7
2024-01-01,Johor,Mersing,6014,5335,4274,0.263,6.7
2022-01-01,Johor,Muar,7572,5724,4740,0.394,6.1
2024-01-01,Johor,Muar,8401,7334,5541,0.306,2.1
2022-01-01,Johor,Pontian,6913,5616,4535,0.361,5.1
2024-01-01,Johor,Pontian,7011,5685,4856,0.341,2.0
2022-01-01,Johor,Segamat,6578,5318,4426,0.34,7.4
2024-01-01,Johor,Segamat,7348,6451,4870,0.292,3.1
2022-01-01,Johor,Kulai,9177,7460,5646,0.337,0.4
2024-01-01,Johor,Kulai,10296,8406,6254,0.319,0.1
2022-01-01,Johor,Tangkak,7093,5622,4198,0.371,6.9
2024-01-01,Johor,Tangkak,7524,6374,4673,0.306,4.0
2022-01-01,Kedah,Baling,4263,3400,2732,0.347,14.4
2024-01-01,Kedah,Baling,4345,3367,3041,0.324,14.7
2022-01-01,Kedah,Bandar Baharu,4565,3922,2751,0.291,3.9
2024-01-01,Kedah,Bandar Baharu,4835,4310,3006,0.339,5.8
2022-01-01,Kedah,Kota Setar,5959,4751,4253,0.348,5.1
2024-01-01,Kedah,Kota Setar,6034,5208,4495,0.328,5.5
2022-01-01,Kedah,Kuala Muda,5624,4200,3840,0.404,13.8
2024-01-01,Kedah,Kuala Muda,5729,4953,3869,0.333,11.8
2022-01-01,Kedah,Kubang Pasu,6221,5201,4062,0.325,3.3
2024-01-01,Kedah,Kubang Pasu,6313,5312,4478,0.317,4.0
2022-01-01,Kedah,Kulim,5636,4498,3647,0.359,11.4
